Light,"Give me an update on the status of the kitchen light, including brightness and output state.",Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,Check the temperature and voltage of the living room light.,Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,"Provide the current status of the bedroom light, including brightness, output state, and any ongoing transition details.",Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,What is the current temperature and brightness level of the kitchen light?,Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,"Could you please fetch the configuration details for the living room light, including its name, night mode settings, and transition duration?",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,"Hi. Tell me, what is the transition duration for the main light?",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,"Tell me information about the dining room light, including its name, night mode settings, and auto-off delay.",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,What is the transition duration for the main light?,Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,"Fetch the configuration details for the living room light, including its name, night mode settings, and transition duration?",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,Is there are transition duration for the light?,Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
