Light,"Give me an update on the status of the kitchen light, including brightness and output state.",Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,Check the temperature and voltage of the living room light.,Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,"Provide the current status of the bedroom light, including brightness, output state, and any ongoing transition details.",Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,What is the current temperature and brightness level of the kitchen light?,Light.GetStatus,"{'method': 'Light.GetStatus', 'params': {'id': 33}}"
Light,"Could you please fetch the configuration details for the living room light, including its name, night mode settings, and transition duration?",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,"Hi. Tell me, what is the transition duration for the main light?",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,"Tell me information about the dining room light, including its name, night mode settings, and auto-off delay.",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,What is the transition duration for the main light?,Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,"Fetch the configuration details for the living room light, including its name, night mode settings, and transition duration?",Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"
Light,Is there are transition duration for the light?,Light.GetConfig,"{'method': 'Light.GetConfig', 'params': {'id': 33}}"

Input,Check the status of the input for the living room.,Input.GetStatus,"{""method"": ""Input.GetStatus"", ""params"": {""id"": 33}}"
Input,Get details of the status for the input in the kitchen.,Input.GetStatus,"{""method"": ""Input.GetStatus"", ""params"": {""id"": 33}}"
Input,I need to know the current status of the input in the dining area.,Input.GetStatus,"{""method"": ""Input.GetStatus"", ""params"": {""id"": 33}}"
Input,Find out the status of the input for the bedroom TV.,Input.GetStatus,"{""method"": ""Input.GetStatus"", ""params"": {""id"": 33}}"
Input,Retrieve the status information for the input in the study room.,Input.GetStatus,"{""method"": ""Input.GetStatus"", ""params"": {""id"": 33}}"
Input,Provide me with the current status of the input in the home office.,Input.GetStatus,"{""method"": ""Input.GetStatus"", ""params"": {""id"": 33}}"
Switch,Reset all counters for the switch in the office.,Switch.ResetCounters,"{""method"": ""Switch.ResetCounters"", ""params"": {""id"": 33}}"
Switch,Reset the energy counter of the switch responsible for the fridge.,Switch.ResetCounters,"{""method"": ""Switch.ResetCounters"", ""params"": {""id"": 33, ""type"": [""total""]}}"
Switch,Check the status of the switch.,Switch.GetStatus,"{""method"": ""Switch.GetStatus"", ""params"": {""id"": 33}}"
Switch,Check the output status and energy level of the switch.,Switch.GetStatus,"{""method"": ""Switch.GetStatus"", ""params"": {""id"": 33}}"
Smoke,Change the name of the Smoke sensor in the bedroom.,Smoke.SetConfig,"{""method"": ""Smoke.SetConfig"", ""params"": {""id"": 33, ""name"": ""Bedroom smoke sensor""}}"
Smoke,Can you mute the smoke alarm?,Smoke.Mute,"{""method"": ""Smoke.Mute"", ""params"": {""id"": 33}}"
Smoke,Mute the smoke detector in the kitchen.,Smoke.Mute,"{""method"": ""Smoke.Mute"", ""params"": {""id"": 33}}"
Smoke,Please silence the smoke alarm in the living room.,Smoke.Mute,"{""method"": ""Smoke.Mute"", ""params"": {""id"": 33}}"
